data,categoria,valor
2026-01-05,Alimentação,45.50
2026-01-07,Transporte,20.00
2026-01-10,Lazer,60.00
2026-01-12,Alimentação,32.10
2026-01-15,Contas,150.00
2026-01-20,Saúde,35.00
2026-01-25,Alimentação,28.90
2026-02-03,Transporte,22.00
2026-02-06,Lazer,45.00
2026-02-10,Alimentação,50.20
2026-02-14,Contas,155.00
2026-02-18,Saúde,40.00
2026-02-22,Alimentação,33.10
2026-02-28,Transporte,18.50
2026-03-02,Alimentação,60.00
2026-03-05,Lazer,80.00
2026-03-09,Contas,148.00
2026-03-12,Transporte,25.00
2026-03-16,Saúde,52.00
2026-03-20,Alimentação,41.30
2026-03-27,Lazer,35.00
2026-04-01,Contas,160.00
2026-04-04,Alimentação,38.70
2026-04-08,Transporte,21.00
2026-04-13,Saúde,29.00
2026-04-18,Lazer,55.00
2026-04-23,Alimentação,44.60
2026-04-29,Transporte,19.50
2026-05-03,Contas,152.00
2026-05-07,Alimentação,36.20
2026-05-11,Lazer,70.00
2026-05-15,Saúde,48.00
2026-05-19,Transporte,23.50
2026-05-24,Alimentação,52.80
2026-05-30,Contas,158.00
2026-06-02,Alimentação,40.00
2026-06-06,Lazer,65.00
2026-06-10,Transporte,20.50
2026-06-14,Saúde,33.00
2026-06-19,Alimentação,47.90
2026-06-25,Contas,150.00
2026-06-28,Lazer,42.00
